SM_LINCS_ID	SM_CENTER_COMPOUND_ID
LSM-1469	BRD-A34205397
LSM-1470	BRD-A34208323
LSM-1471	BRD-A34255068
LSM-1472	BRD-A34299591
LSM-1473	BRD-A34421300
LSM-1474	BRD-A34706053
LSM-1475	BRD-A34751532
LSM-1476	BRD-A34806832
LSM-1477	BRD-A34907681
LSM-1478	BRD-A35020550
LSM-1479	BRD-A35033682
LSM-1480	BRD-A35141262
LSM-1481	BRD-A35338386
LSM-1482	BRD-A35511923
LSM-1483	BRD-A35588707
LSM-1484	BRD-A35623999
LSM-1485	BRD-A35912562
LSM-1486	BRD-A35989968
LSM-1487	BRD-A36010170
LSM-1488	BRD-A36066264
LSM-1489	BRD-A36074203
LSM-1490	BRD-A36151937
LSM-1491	BRD-A36217750
LSM-1492	BRD-A36267905
LSM-1493	BRD-A36275421
LSM-1494	BRD-A36318220
LSM-1495	BRD-A36471396
LSM-1496	BRD-A37347161
LSM-1497	BRD-A37432947
LSM-1498	BRD-A37492983
LSM-1499	BRD-A37541666
LSM-1500	BRD-A37656721
LSM-1501	BRD-A37735495
LSM-1502	BRD-A37776212
LSM-1503	BRD-A37780065
LSM-1504	BRD-A37817666
LSM-1505	BRD-A37867643
LSM-1506	BRD-A37959677
LSM-1507	BRD-A38030642
LSM-1508	BRD-A38425832
LSM-1509	BRD-A38747044
LSM-1510	BRD-A38749782
LSM-1511	BRD-A38793261
LSM-1512	BRD-A38898897
LSM-1513	BRD-A38913120
LSM-1514	BRD-A38936397
LSM-1515	BRD-A39093044
LSM-1516	BRD-A39230911
LSM-1517	BRD-A39255369
LSM-1518	BRD-A39268308
LSM-1519	BRD-A39290993
LSM-1520	BRD-A39415247
LSM-1521	BRD-A39522003
LSM-1522	BRD-A39599596
LSM-1523	BRD-A39747742
LSM-1524	BRD-A39969961
LSM-1525	BRD-A40560522
LSM-1526	BRD-A40639672
LSM-1527	BRD-A41112154
LSM-1528	BRD-A41145729
LSM-1529	BRD-A41250306
LSM-1530	BRD-A41301928
LSM-1531	BRD-A41304429
LSM-1532	BRD-A41451487
LSM-1533	BRD-A41519720
LSM-1534	BRD-A41555725
LSM-1535	BRD-A41630653
LSM-1536	BRD-A41722204
LSM-1537	BRD-A41833852
LSM-1538	BRD-A41941932
LSM-1539	BRD-A41995253
LSM-1540	BRD-A42031983
LSM-1541	BRD-A42167015
LSM-1542	BRD-A42346008
LSM-1543	BRD-A42553870
LSM-1544	BRD-A42571354
LSM-1545	BRD-A42628519
LSM-1546	BRD-A42649439
LSM-1547	BRD-A42737819
LSM-1548	BRD-A42759514
LSM-1549	BRD-A42831637
LSM-1550	BRD-A42969626
LSM-1551	BRD-A43126523
LSM-1552	BRD-A43150328
LSM-1553	BRD-A43640821
LSM-1554	BRD-A43671941
LSM-1555	BRD-A43805296
LSM-1556	BRD-A43849199
LSM-1557	BRD-A43882281
LSM-1557	BRD-A58207013
LSM-1557	BRD-A22897758
LSM-1558	BRD-A43885598
LSM-1559	BRD-A43930669
LSM-1560	BRD-A43940795
LSM-1561	BRD-A43974499
LSM-1562	BRD-A43974575
LSM-1563	BRD-A44008656
LSM-1564	BRD-A44090213
LSM-1565	BRD-A44133049
LSM-1566	BRD-A44448661
LSM-1567	BRD-A44551378
